Reference Number,Chemical name,Colour index Number,CAS Number,EC Number,Color,Maximum concentration in ready for use preparation,SMILES
1,"Sodium tris(1,2-naphthoquinone 1-oximato-O,O')ferrate(1-) ",CI 10006,16143-80-9 ,240-299-7,Green,Rinse-off product,[Na+].[Fe++].[O-]c1ccc2ccccc2c1N=O.[O-]c3ccc4ccccc4c3N=O.[O-]c5ccc6ccccc6c5N=O
3,"Disodium 5,7-dinitro-8-oxidonaphthalene-2-sulphonate and its insoluble barium, strontium and zirconium lakes, salts and pigments",CI 10316,846-70-8 ,212-690-2,Yellow,Not to be used in eye products,[Na+].[O-]c1c2cc(ccc2c(cc1[N+]([O-])=O)[N+]([O-])=O)[S]([O-])(=O)=O
4,2-[(4-Methyl-2-nitrophenyl)azo]-3-oxo-N-phenylbutyramide ,CI 11680,2512-29-0 ,219-730-8,Yellow,Not to be used in products applied on mucous membranes,CC(=O)C(N=Nc1ccc(C)cc1[N+]([O-])=O)C(=O)Nc2ccccc2
5,2-[(4-Chloro-2-nitrophenyl)azo]-N-(2-chlorophenyl)-3-oxobutyramide,CI 11710,6486-23-3 ,229-355-1,Yellow,Not to be used in products applied on mucous membranes,CC(=O)C(N=Nc1ccc(Cl)cc1[N+]([O-])=O)C(=O)Nc2ccccc2Cl
6,2-[(4-Methoxy-2-nitrophenyl)azo]-3-oxo-N-(o-tolyl)butyramide,CI 11725,6371-96-6 ,228-907-9,Orange,Rinse-off products,COc1ccc(N=NC(C(C)=O)C(=O)Nc2ccccc2C)c(c1)[N+]([O-])=O
7,4-(Phenylazo)resorcinol,CI 11920,2051-85-6 ,218-131-9,Orange,,OC/1=CC(=O)C=CC1=N/Nc2ccccc2
8,4-[(4-Ethoxyphenyl)azo]naphthol,CI 12010,6535-42-8 ,229-439-8,Red,Not to be used in products applied on mucous membranes,CCOc1ccc(N\N=C\2C=CC(=O)c3ccccc23)cc1
9,"1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol and its insoluble barium, strontium and zirconium lakes, salts and pigments",CI 12085 ,2814-77-9 ,220-562-2,Red,,[O-][N+](=O)c1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(Cl)c1
10,1-[(4-Methyl-2-nitrophenyl)azo]-2-naphthol,CI 12120,2425-85-6,219-372-2,Red,Rinse-off products,Cc1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(c1)[N+]([O-])=O
11,"3-Hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naphthalene-2-carboxamide",CI 12370,6535-46-2 ,229-440-3,Red,Rinse-off products,Cc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4cc(Cl)c(Cl)cc4Cl)\C2=O
