query,target,Similarity,SMILES,Reference Number,Colour index Number
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Cc1c(C2(c3cc(Br)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(Br)c(O)c1Br,1.0,Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,152,BROMOCRESOL GREEN
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Cc1c(C2(c3cc(C(C)C)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(C(C)C)c(O)c1Br,0.8701964133219471,CC(C)c1cc(c(C)c(Br)c1O)C2(O[S](=O)(=O)c3ccccc23)c4cc(C(C)C)c(O)c(Br)c4C,151,BROMOTHYMOL BLUE
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=C1OC2(c3cc(Br)c([O-])c(Br)c3Oc3c2cc(Br)c([O-])c3Br)c2c(Cl)c(Cl)c(Cl)c(Cl)c21.[Na+].[Na+],0.5079164027865738,[Na+].[Na+].[O-]c1c(Br)cc2c(Oc3c(Br)c([O-])c(Br)cc3C24OC(=O)c5c(Cl)c(Cl)c(Cl)c(Cl)c45)c1Br,79,CI 45410 
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=C1OC2(c3cc(Br)c([O-])c(Br)c3Oc3c2cc(Br)c([O-])c3Br)c2c(Cl)ccc(Cl)c21.[K+].[K+],0.5061648280337443,[K+].[K+].[O-]c1c(Br)cc2c(Oc3c(Br)c([O-])c(Br)cc3C24OC(=O)c5c(Cl)ccc(Cl)c45)c1Br,78,CI 45405
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)\C=C\C=C(/C)C(=O)O)C(C)(C)CCC1,0.4948665297741273,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)/C=C/C=C(\C)C(O)=O)C(C)(C)CCC1,56,CI 40820
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12,0.4939516129032258,O=C1c2ccccc2Nc3cc4C(=O)c5ccccc5Nc4cc13,102,CI 73900
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=C1C=CC2=CC(S(=O)(=O)[O-])=C(NNc3ccc(C4(c5ccc(N/N=C6\C(=O)c7cc(OS(=O)(=O)c8ccccc8)ccc7C=C6S(=O)(=O)[O-])cc5)CCCCC4)cc3)C(=O)C2=C1.[Na+].[Na+],0.4929881337648328,[Na+].[Na+].[O-][S](=O)(=O)C1=C(NNc2ccc(cc2)C3(CCCCC3)c4ccc(N\N=C\5C(=O)c6cc(O[S](=O)(=O)c7ccccc7)ccc6C=C5[S]([O-])(=O)=O)cc4)C(=O)C8=CC(=O)C=CC8=C1,50,CI 24790
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Cc1cc(Cl)cc2N3=Nc4c(C)[n-]n(-c5ccccc5)c4=O->[Cr+3]<-345(<-O=c3c(N=N->4c4cc(Cl)cc(C)c4[O-]->5)c(C)[n-]n3-c3ccccc3)<-[O-]c12.[H+].[Na+].[Na+],0.47889525794684734,[Na+].[Na+].[Cr+3]1234([O-]c5c(C)cc(Cl)cc5N1=NC6=C(C)[N-]N(c7ccccc7)C6=O2)[O-]c8c(C)cc(Cl)cc8N3=NC9=C(C)[N-]N(c%10ccccc%10)C9=O4.[H+],41,CI 18736
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,CC1=NN(c2ccccc2)C2=O->[Cr+3]345(<-O=C6C(=NN->3=C3C=CC=CC3=C([O-])[O-]->4)C(C)=NN6c3ccccc3)<-[O-]C([O-])=C3C=CC=CC3=N->5N=C12.[H+],0.4781021897810219,[Cr+3]1234([O-]C(=C5C=CC=CC5=N1N=C6C(=NN(c7ccccc7)C6=O2)C)[O-])[O-]C(=C8C=CC=CC8=N3N=C9C(=NN(c%10ccccc%10)C9=O4)C)[O-].[H+],40,CI 18690
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc([C+](c2ccc(N(CC)Cc3cccc(S(=O)(=O)[O-])c3)cc2)c2ccc(O)cc2S(=O)(=O)[O-])cc1.[Na+].[Na+],0.4771084337349398,[Na+].[Na+].CCN(Cc1cccc(c1)[S]([O-])(=O)=O)c2ccc(cc2)[C+](c3ccc(cc3)N(CC)Cc4cccc(c4)[S]([O-])(=O)=O)c5ccc(O)cc5[S]([O-])(=O)=O,61,CI 42053/ FAST GREEN FCF 
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Clc1cc(Cl)c2c(c1Cl)C1=NC2N=C2c3c(Cl)c(Cl)c(Cl)c(Cl)c3C3N=C4N=C(N=c5c6c(Cl)c(Cl)c(Cl)c(Cl)c6c(n5[Cu]N23)=N1)c1c(Cl)c(Cl)c(Cl)c(Cl)c14,0.47626666666666667,Clc1cc(Cl)c2C3N=C(N=C4N5[Cu]N6C(N=C7N=C(N=C5c8c(Cl)c(Cl)c(Cl)c(Cl)c48)c9c(Cl)c(Cl)c(Cl)c(Cl)c79)c%10c(Cl)c(Cl)c(Cl)c(Cl)c%10C6=N3)c2c1Cl,107,CI 74260
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,CCN(CC)c1ccc([C+](c2ccc(N(CC)CC)cc2)c2cc(O)c(S(=O)(=O)[O-])cc2S(=O)(=O)[O-])cc1.CCN(CC)c1ccc([C+](c2ccc(N(CC)CC)cc2)c2cc(O)c(S(=O)(=O)[O-])cc2S(=O)(=O)[O-])cc1.[Ca+2],0.4723336006415397,[Ca++].CCN(CC)c1ccc(cc1)[C+](c2ccc(cc2)N(CC)CC)c3cc(O)c(cc3[S]([O-])(=O)=O)[S]([O-])(=O)=O.CCN(CC)c4ccc(cc4)[C+](c5ccc(cc5)N(CC)CC)c6cc(O)c(cc6[S]([O-])(=O)=O)[S]([O-])(=O)=O,60,CI 42051 /ACID BLUE 3
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,CC(=O)Nc1ccc(S(=O)(=O)[O-])c2c1C(=O)/C(=N\Nc1ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)c3ccc(S(=O)(=O)[O-])cc13)C(S(=O)(=O)[O-])=C2.[Na+].[Na+].[Na+].[Na+],0.46936481169196176,[Na+].[Na+].[Na+].[Na+].CC(=O)Nc1ccc(c2C=C(/C(=N/Nc3ccc(N=Nc4ccc(cc4)[S]([O-])(=O)=O)c5ccc(cc35)[S]([O-])(=O)=O)C(=O)c12)[S]([O-])(=O)=O)[S]([O-])(=O)=O,53,CI 28440
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Nc1c(N=Nc2ccc([N+](=O)[O-])cc2)c(S(=O)(=O)[O-])cc2c1C(=O)/C(=N/Nc1ccccc1)C(S(=O)(=O)[O-])=C2.[Na+].[Na+],0.46210407239819007,[Na+].[Na+].Nc1c(N=Nc2ccc(cc2)[N+]([O-])=O)c(cc3C=C(\C(=N/Nc4ccccc4)C(=O)c13)[S]([O-])(=O)=O)[S]([O-])(=O)=O,46,CI 20470
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,0.46064814814814814,Oc1ccc2C(=O)c3ccccc3C(=O)c2c1O,86,CI 58000 / PIGMENT RED 83
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=C1OC2(c3ccccc31)c1ccc(O)c([N+](=O)[O-])c1Oc1c2ccc(O)c1[N+](=O)[O-],0.45967213114754096,Oc1ccc2c(Oc3c(ccc(O)c3[N+]([O-])=O)C24OC(=O)c5ccccc45)c1[N+]([O-])=O,77,CI 45396
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=C1C(S(=O)(=O)[O-])=Cc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2/C1=N/Nc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+].[Na+].[Na+],0.45674740484429066,[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)c1cc2C=C(C(=O)\C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)c2c(c1)[S]([O-])(=O)=O)[S]([O-])(=O)=O,36,CI 16290
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=C1OC2(c3ccccc31)c1c(cc(I)c([O-])c1I)Oc1cc(I)c([O-])c(I)c12.O=C1OC2(c3ccccc31)c1c(cc(I)c([O-])c1I)Oc1cc(I)c([O-])c(I)c12.O=C1OC2(c3ccccc31)c1c(cc(I)c([O-])c1I)Oc1cc(I)c([O-])c(I)c12.[Al+3].[Al+3],0.4472295514511873,[Al+3].[Al+3].[O-]c1c(I)cc2Oc3cc(I)c([O-])c(I)c3C4(OC(=O)c5ccccc45)c2c1I.[O-]c6c(I)cc7Oc8cc(I)c([O-])c(I)c8C9(OC(=O)c%10ccccc9%10)c7c6I.[O-]c%11c(I)cc%12Oc%13cc(I)c([O-])c(I)c%13C%14(OC(=O)c%15ccccc%14%15)c%12c%11I,80,CI 45430 
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,CC(=O)Nc1cc(S(=O)(=O)[O-])cc2c1C(=O)/C(=N/Nc1ccccc1)C(S(=O)(=O)[O-])=C2.[Na+].[Na+],0.44437939110070257,[Na+].[Na+].CC(=O)Nc1cc(cc2C=C(\C(=N/Nc3ccccc3)C(=O)c12)[S]([O-])(=O)=O)[S]([O-])(=O)=O,38,CI 18050
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Nc1cc2c(cc1S(=O)(=O)[O-])C=C(S(=O)(=O)[O-])/C(=N/Nc1ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)c3ccc(S(=O)[O-])cc13)C2=O.[Na+].[Na+].[Na+].[Na+],0.4442488262910798,[Na+].[Na+].[Na+].[Na+].Nc1cc2C(=O)C(=N/Nc3ccc(N=Nc4ccc(cc4)[S]([O-])(=O)=O)c5ccc(cc35)[S]([O-])=O)\C(=Cc2cc1[S]([O-])(=O)=O)[S]([O-])(=O)=O,52,CI 27755
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,CCN(Cc1ccccc1)c1ccc([C+](c2ccc(N(CC)Cc3ccccc3)cc2)c2ccc(S(=O)(=O)[O-])cc2S(=O)(=O)[O-])cc1.[Na+],0.44291497975708505,[Na+].CCN(Cc1ccccc1)c2ccc(cc2)[C+](c3ccc(cc3)N(CC)Cc4ccccc4)c5ccc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O,62,CI 42080
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,CCN(CC)S(=O)(=O)c1ccc(OC)c(N/N=C2/C(=O)C(C(=O)Nc3cc(Cl)c(OC)cc3OC)=Cc3ccccc32)c1,0.4406485234510712,CCN(CC)[S](=O)(=O)c1ccc(OC)c(N\N=C2\C(=O)C(=Cc3ccccc23)C(=O)Nc4cc(Cl)c(OC)cc4OC)c1,14,CI 12490
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,CCN(CC)c1ccc([C+](c2ccc(N(CC)CC)cc2)c2ccc(S(=O)(=O)[O-])cc2S(=O)(=O)[O-])cc1.[Na+],0.4352640545144804,[Na+].CCN(CC)c1ccc(cc1)[C+](c2ccc(cc2)N(CC)CC)c3ccc(cc3[S]([O-])(=O)=O)[S]([O-])(=O)=O,59,CI 42045 /ACID BLUE 1
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Cc1cc(C)c(S(=O)(=O)[O-])cc1N/N=C1\C=C(S(=O)(=O)[O-])c2ccccc2C1=O.[Na+].[Na+],0.4330413016270338,[Na+].[Na+].Cc1cc(C)c(cc1N\N=C\2C=C(c3ccccc3C2=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O,18,PONCEAUX SX (CI 14700)
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Cc1cc(C)c(N/N=C2/C=Cc3c(cccc3S(=O)(=O)[O-])C2=O)c(S(=O)(=O)[O-])c1.[Na+].[Na+],0.4317295188556567,[Na+].[Na+].Cc1cc(C)c(N\N=C/2C=Cc3c(cccc3[S]([O-])(=O)=O)C2=O)c(c1)[S]([O-])(=O)=O,20,CI 14815
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Cc1cc(S(=O)(=O)[O-])ccc1N=c1ccc2c(-c3ccccc3C(=O)O)c3ccc(Nc4ccccc4C)cc3oc-2c1.[Na+],0.43152769324406576,[Na+].Cc1ccccc1Nc2ccc3c(OC4=CC(C=CC4=C3c5ccccc5C(O)=O)=Nc6ccc(cc6C)[S]([O-])(=O)=O)c2,72,CI 45190 / ACID VIOLET 9
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,c1ccc2c(c1)C1=NC2=Nc2c3ccccc3c3n2[Cu]n2c(c4ccccc4c2=NC2=NC(=N3)c3ccccc32)=N1,0.429732868757259,[Cu]1N2C3=NC4=NC(=Nc5n1c(N=C6N=C(N=C2c7ccccc37)c8ccccc68)c9ccccc59)c%10ccccc4%10,105,CI 74160
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Nc1c(S(=O)(=O)[O-])cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O.[Na+],0.42828418230563003,[Na+].Nc1c(cc(NC2CCCCC2)c3C(=O)c4ccccc4C(=O)c13)[S]([O-])(=O)=O,94,CI 62045
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=C1C=Cc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2/C1=N/Nc1ccc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+].[Na+],0.4276885043263288,[Na+].[Na+].[Na+].[O-][S](=O)(=O)c1cc2C=CC(=O)\C(=N/Nc3ccc(c4ccccc34)[S]([O-])(=O)=O)c2c(c1)[S]([O-])(=O)=O,35,CI 16255 
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Cc1cc(C)c(S(=O)(=O)[O-])c(C)c1Nc1ccc(Nc2c(C)cc(C)c(S(=O)(=O)[O-])c2C)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],0.42526315789473684,[Na+].[Na+].Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S]([O-])(=O)=O,93,CI 61585
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,COc1cc(S(=O)(=O)[O-])c(C)cc1N/N=C1/C(=O)C=Cc2cc(S(=O)(=O)[O-])ccc21.[Na+].[Na+],0.4217731421121252,[Na+].[Na+].COc1cc(c(C)cc1N\N=C2\C(=O)C=Cc3cc(ccc23)[S]([O-])(=O)=O)[S]([O-])(=O)=O,32,CI 16035
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1.[Na+],0.41508152173913043,[Na+].Cc1ccc(Nc2ccc(O)c3C(=O)c4ccccc4C(=O)c23)c(c1)[S]([O-])(=O)=O,90,CI 60730
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,O=C1/C(=N/Nc2ccc(S(=O)(=O)[O-])c3ccccc23)C=C(S(=O)(=O)[O-])c2ccccc21.[Na+].[Na+],0.4104665825977301,[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=C(c3ccccc3C2=O)[S]([O-])(=O)=O)c4ccccc14,19,CI 14720
